0117981020-0-0,,2020-06-13T11:59:59
2,BD-S016,24.67,0.61
3,BD-S011,25.28,0
4,BD-S008,42.72,1.77
5,BD-S019,44.49,0
6,BD-S021,44.49,0
0118921020-0-0,,2020-06-22T11:59:59
0,BD-S005,15.67,0.8
1,BD-S007,22.39,1.14
2,BD-S016,23.53,0.61
3,BD-S011,24.14,0
4,BD-S008,40.95,1.77
5,BD-S019,42.72,0
6,BD-S021,42.72,0
0118931020-0-0,,2020-06-17T11:59:59
0,BD-S005,14.87,0.8
1,BD-S007,21.25,1.14
2,BD-S016,22.39,0.61
3,BD-S011,23,0
4,BD-S008,39.18,1.77
5,BD-S020,41.84,2.66
0118941020-0-0,,2020-06-22T11:59:59
0,BD-S005,14.07,0.8
1,BD-S007,20.11,1.14
2,BD-S016,21.25,0.61
3,BD-S011,21.86,0
4,BD-S008,37.41,1.77
5,BD-S020,39.18,2.66
0118951020-0-0,,2020-06-22T11:59:59
0,BD-S005,13.27,0.8
1,BD-S007,18.97,1.14
2,BD-S016,20.16,0.61
3,BD-S011,20.77,0
4,BD-S008,25.41,1.77
5,BD-S020,28.96,2.66
0118961020-0-0,,2020-06-22T11:59:59
0,BD-S005,11.2,0.8
1,BD-S007,17.83,1.14
2,BD-S016,19.55,0.61
3,BD-S011,20.16,0
4,BD-S008,23.64,1.77
5,BD-S020,26.3,2.66
0118971020-0-0,,2020-06-22T11:59:59
0,BD-S005,10.4,0.8
1,BD-S007,16.69,1.14
2,BD-S016,18.94,0.61
3,BD-S011,19.55,0
4,BD-S008,21.87,1.77
5,BD-S020,23.64,2.66
0118981020-C-0-0,,2020-06-22T11:59:59
0,BD-S005,9.6,0.8
1,BD-S007,15.55,1.14
2,BD-S016,18.33,0.61
3,BD-S011,18.94,0
4,BD-S008,20.1,1.77
5,BD-S019,21.87,0
6,BD-S021,21.87,0
0118991020-A-0-0,,2020-06-22T11:59:59
0,BD-S005,8.8,0.8
1,BD-S007,14.41,1.14
2,BD-S016,17.72,0.61
3,BD-S011,18.33,0
4,BD-S008,18.33,1.77
5,BD-S019,20.65,0
6,BD-S021,20.65,0
0119001020-0-0,,2020-06-17T11:59:59
0,BD-S005,7.2,0.8
1,BD-S007,10.19,1.14
2,BD-S016,14.45,0.61
3,BD-S011,15.06,0
4,BD-S008,16.22,1.77
5,BD-S019,17.99,2.66
0119011020-0-0,,2020-06-25T11:59:59
0,BD-S005,6.4,0.8
1,BD-S008,7.2,1.77
2,BD-S016,13.84,0.61
3,BD-S011,14.45,0
4,BD-S008,14.45,1.77
5,BD-S020,18.27,2.66
0119181020-0-0,,2020-06-20T11:59:59
0,BD-S005,5.6,0.8
1,BD-S006,6.4,30
2,BD-S012,36.4,1
3,BD-S025,37.4,0
4,BD-S012,37.4,1
5,BD-S016,38.4,0.61
6,BD-S018,39.01,0
0119191020-0-0,,2020-06-20T11:59:59
0,BD-S005,32.73,0.8
1,BD-S006,36.4,30
2,BD-S012,70.8,1
3,BD-S025,71.8,0
4,BD-S012,71.8,1
5,BD-S016,72.8,0.61
6,BD-S018,73.41,0
0119201020-0-0,,2020-06-20T11:59:59
0,BD-S005,22.87,0.8
1,BD-S006,34,30
2,BD-S012,64,1
3,BD-S025,65,0
4,BD-S012,65,1
5,BD-S016,66,2.66
