0117981020-0-0,,2020-06-13T11:59:59,,,,,,,,,,
0,BD-S005,29.6,0.8,,,,,,,,,
1,BD-S007,42.82,1.14,,,,,,,,,
2,BD-S016,43.96,0.61,,,,,,,,,
3,BD-S011,44.57,0,,,,,,,,,
4,BD-S008,44.57,1.77,,,,,,,,,
5,BD-S011,46.34,0,,,,,,,,,
6,BD-S013,46.34,1.77,,,,,,,,,
7,BD-S020,48.11,2.66,,,,,,,,,
0118821020-0-0,,2020-06-23T11:59:59,,,,,,,,,,
0,BD-S005,30.4,0.8,,,,,,,,,
1,BD-S007,43.96,1.14,,,,,,,,,
2,BD-S016,45.1,0.61,,,,,,,,,
3,BD-S011,45.71,0,,,,,,,,,
4,BD-S008,46.34,1.77,,,,,,,,,
5,BD-S011,48.11,0,,,,,,,,,
6,BD-S013,48.11,1.77,,,,,,,,,
7,BD-S020,54.46,2.66,,,,,,,,,
0118831020-0-0,,2020-06-21T11:59:59,,,,,,,,,,
0,BD-S005,31.2,0.8,,,,,,,,,
1,BD-S007,45.1,1.14,,,,,,,,,
2,BD-S016,46.24,0.61,,,,,,,,,
3,BD-S011,46.85,0,,,,,,,,,
4,BD-S012,55.8,1,,,,,,,,,
5,BD-S020,57.12,2.66,,,,,,,,,
0118841020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,32,0.8,,,,,,,,,
1,BD-S006,49.2,30,,,,,,,,,
2,BD-S012,88.8,1,,,,,,,,,
3,BD-S016,89.8,0.61,,,,,,,,,
4,BD-S025,90.41,0,,,,,,,,,
5,BD-S007,90.41,1.14,,,,,,,,,
6,BD-S020,91.55,2.66,,,,,,,,,
0118851020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,32.8,0.8,,,,,,,,,
1,BD-S006,49.2,30,,,,,,,,,
2,BD-S012,89.8,1,,,,,,,,,
3,BD-S016,90.8,0.61,,,,,,,,,
4,BD-S025,91.41,0,,,,,,,,,
5,BD-S007,91.55,1.14,,,,,,,,,
6,BD-S020,94.21,2.66,,,,,,,,,
0118861020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,33.6,0.8,,,,,,,,,
1,BD-S007,46.24,1.14,,,,,,,,,
2,BD-S016,47.38,0.61,,,,,,,,,
3,BD-S011,47.99,0,,,,,,,,,
4,BD-S008,48.11,1.77,,,,,,,,,
5,BD-S020,59.78,2.66,,,,,,,,,
0118871020-0-0,,2020-06-24T11:59:59,,,,,,,,,,
0,BD-S005,34.4,0.8,,,,,,,,,
1,BD-S007,47.38,1.14,,,,,,,,,
2,BD-S016,52.46,0.61,,,,,,,,,
3,BD-S011,53.07,0,,,,,,,,,
4,BD-S008,53.07,1.77,,,,,,,,,
5,BD-S020,62.44,2.66,,,,,,,,,
0118881020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,35.2,0.8,,,,,,,,,
1,BD-S007,48.52,1.14,,,,,,,,,
2,BD-S016,53.07,0.61,,,,,,,,,
3,BD-S011,53.68,0,,,,,,,,,
4,BD-S008,54.84,1.77,,,,,,,,,
5,BD-S020,65.1,2.66,,,,,,,,,
0118911020-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,36,0.8,,,,,,,,,
1,BD-S007,49.66,1.14,,,,,,,,,
2,BD-S016,57.07,0.61,,,,,,,,,
3,BD-S011,57.68,0,,,,,,,,,
4,BD-S008,57.68,1.77,,,,,,,,,
5,BD-S019,59.45,0,,,,,,,,,
6,BD-S021,59.45,0,,,,,,,,,
0118921020-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,36.8,0.8,,,,,,,,,
1,BD-S007,50.8,1.14,,,,,,,,,
2,BD-S016,57.68,0.61,,,,,,,,,
3,BD-S011,58.29,0,,,,,,,,,
4,BD-S008,59.45,1.77,,,,,,,,,
5,BD-S019,61.22,0,,,,,,,,,
6,BD-S021,61.22,0,,,,,,,,,
0118931020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,37.6,0.8,,,,,,,,,
1,BD-S007,51.94,1.14,,,,,,,,,
2,BD-S016,58.29,0.61,,,,,,,,,
3,BD-S011,58.9,0,,,,,,,,,
4,BD-S008,61.22,1.77,,,,,,,,,
5,BD-S020,67.76,2.66,,,,,,,,,
0118941020-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,38.4,0.8,,,,,,,,,
1,BD-S007,53.08,1.14,,,,,,,,,
2,BD-S016,58.9,0.61,,,,,,,,,
3,BD-S011,59.51,0,,,,,,,,,
4,BD-S008,62.99,1.77,,,,,,,,,
5,BD-S020,70.42,2.66,,,,,,,,,
0118951020-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,39.2,0.8,,,,,,,,,
1,BD-S007,54.22,1.14,,,,,,,,,
2,BD-S016,59.51,0.61,,,,,,,,,
3,BD-S011,60.12,0,,,,,,,,,
4,BD-S008,64.76,1.77,,,,,,,,,
5,BD-S020,73.08,2.66,,,,,,,,,
0118961020-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,40,0.8,,,,,,,,,
1,BD-S007,55.36,1.14,,,,,,,,,
2,BD-S016,60.12,0.61,,,,,,,,,
3,BD-S011,60.73,0,,,,,,,,,
4,BD-S008,66.53,1.77,,,,,,,,,
5,BD-S020,75.74,2.66,,,,,,,,,
0118971020-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,40.8,0.8,,,,,,,,,
1,BD-S007,56.5,1.14,,,,,,,,,
2,BD-S016,60.73,0.61,,,,,,,,,
3,BD-S011,61.34,0,,,,,,,,,
4,BD-S008,68.3,1.77,,,,,,,,,
5,BD-S020,78.4,2.66,,,,,,,,,
0118981020-C-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,41.6,0.8,,,,,,,,,
1,BD-S007,57.64,1.14,,,,,,,,,
2,BD-S016,61.34,0.61,,,,,,,,,
3,BD-S011,61.95,0,,,,,,,,,
4,BD-S008,70.07,1.77,,,,,,,,,
5,BD-S019,71.84,0,,,,,,,,,
6,BD-S021,71.84,0,,,,,,,,,
0118991020-A-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,42.4,0.8,,,,,,,,,
1,BD-S007,58.78,1.14,,,,,,,,,
2,BD-S016,61.95,0.61,,,,,,,,,
3,BD-S011,62.56,0,,,,,,,,,
4,BD-S008,71.84,1.77,,,,,,,,,
5,BD-S019,73.61,0,,,,,,,,,
6,BD-S021,73.61,0,,,,,,,,,
0119001020-0-0,,2020-06-17T11:59:59,,,,,,,,,,
0,BD-S005,43.2,0.8,,,,,,,,,
1,BD-S007,59.92,1.14,,,,,,,,,
2,BD-S016,62.56,0.61,,,,,,,,,
3,BD-S011,63.17,0,,,,,,,,,
4,BD-S008,73.61,1.77,,,,,,,,,
5,BD-S019,75.38,2.66,,,,,,,,,
0119011020-0-0,,2020-06-25T11:59:59,,,,,,,,,,
0,BD-S005,44,0.8,,,,,,,,,
1,BD-S008,49.88,1.77,,,,,,,,,
2,BD-S016,63.17,0.61,,,,,,,,,
3,BD-S011,63.78,0,,,,,,,,,
4,BD-S008,75.38,1.77,,,,,,,,,
5,BD-S020,81.06,2.66,,,,,,,,,
0119181020-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,44.8,0.8,,,,,,,,,
1,BD-S006,49.2,30,,,,,,,,,
2,BD-S012,90.8,1,,,,,,,,,
3,BD-S025,91.8,0,,,,,,,,,
4,BD-S012,91.8,1,,,,,,,,,
5,BD-S016,92.8,0.61,,,,,,,,,
6,BD-S018,93.41,0,,,,,,,,,
0119191020-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,45.6,0.8,,,,,,,,,
1,BD-S006,50,30,,,,,,,,,
2,BD-S012,92.8,1,,,,,,,,,
3,BD-S025,93.8,0,,,,,,,,,
