BD-S002
BD-S003
BD-S004
105,0118861020-0-0,reentry=1,2020-06-13T22:48:00,2020-06-13T23:35:59.999999
106,0119011020-0-0,reentry=1,2020-06-13T23:36:00,2020-06-14T00:23:59.999999
107,0703081100-0-0,reentry=1,2020-06-14T00:24:00,2020-06-14T01:11:59.999999
108,0304041100-0-0,reentry=1,2020-06-14T01:12:00,2020-06-14T01:59:59.999999
109,0118521020-P-0-0,reentry=1,2020-06-14T02:00:00,2020-06-14T02:47:59.999999
110,0703131100-0-0,reentry=2,2020-06-14T03:18:36,2020-06-14T04:06:35.999999
111,0703121100-0-0,reentry=2,2020-06-14T04:23:24,2020-06-14T05:11:23.999999
112,0703101100-0-0,reentry=2,2020-06-14T05:11:24,2020-06-14T05:59:23.999999
113,0304041100-0-0,reentry=2,2020-06-14T05:59:24,2020-06-14T06:47:23.999999
114,0118531020-P-0-0,reentry=1,2020-06-14T06:47:24,2020-06-14T07:35:23.999999
115,0304051100-C-0-0,reentry=1,2020-06-14T07:35:24,2020-06-14T08:23:23.999999
116,0119281020-0-0,reentry=1,2020-06-14T08:23:24,2020-06-14T09:11:23.999999
117,0703011100-0-0,reentry=2,2020-06-14T09:27:36,2020-06-14T10:15:35.999999
118,0119311020-0-0,reentry=1,2020-06-14T10:15:36,2020-06-14T11:03:35.999999
119,0703181100-0-0,reentry=1,2020-06-14T11:03:36,2020-06-14T11:51:35.999999
120,0118551020-A-0-0,reentry=1,2020-06-14T11:51:36,2020-06-14T12:39:35.999999
121,0118571020-P-0-0,reentry=1,2020-06-14T12:39:36,2020-06-14T13:27:35.999999
122,0118421020-A-0-0,reentry=1,2020-06-14T13:27:36,2020-06-14T14:15:35.999999
123,0118941020-0-0,reentry=1,2020-06-14T14:15:36,2020-06-14T15:03:35.999999
124,0304061100-C-0-0,reentry=1,2020-06-14T15:03:36,2020-06-14T15:51:35.999999
125,0304021100-Fe-0-0,reentry=1,2020-06-14T15:51:36,2020-06-14T16:39:35.999999
126,0304051100-C-0-0,reentry=2,2020-06-14T21:28:12,2020-06-14T22:16:11.999999
127,0703151100-0-0,reentry=2,2020-06-15T10:23:24,2020-06-15T11:11:23.999999
128,0703141100-0-0,reentry=2,2020-06-15T12:15:36,2020-06-15T13:03:35.999999
129,0703181100-0-0,reentry=2,2020-06-16T02:51:00,2020-06-16T03:38:59.999999
BD-S006
ParallelMachine=0
,2020-06-10T04:31:48,2020-06-11T10:31:47.999999
,,1,0206652600-0-0,reentry=1
,2020-06-11T11:51:36,2020-06-12T17:51:35.999999
,,1,0118841020-0-0,reentry=1
,,2,0119201020-0-0,reentry=1
,,3,0206652600-0-0,reentry=2
,2020-06-12T17:51:36,2020-06-13T23:51:35.999999
,,1,0118691020-0-0,reentry=1
,,2,0206272680-0-0,reentry=1
,,3,0118701020-0-0,reentry=1
,2020-06-13T23:51:36,2020-06-15T05:51:35.999999
,,1,0206202680-0-0,reentry=1
,,2,0205782740-0-0,reentry=1
,,3,0206212680-0-0,reentry=1
,2020-06-15T05:51:36,2020-06-16T11:51:35.999999
,,1,0205802600-0-1,reentry=1
,,2,0119211020-D-0-0,reentry=1
,,3,0703081100-0-0,reentry=1
ParallelMachine=1
,2020-06-10T06:55:48,2020-06-11T12:55:47.999999
,,1,9800257701-0-0,reentry=1
,2020-06-11T15:18:36,2020-06-12T21:18:35.999999
,,1,0118731020-0-0,reentry=1
,,2,9800257701-0-0,reentry=2
,2020-06-12T21:18:36,2020-06-14T03:18:35.999999
,,1,0703131100-0-0,reentry=1
,,2,0703061100-0-0,reentry=1
,2020-06-14T03:18:36,2020-06-15T09:18:35.999999
,,1,0119191020-0-0,reentry=1
,,2,0119181020-0-0,reentry=1
,,3,0206222680-0-0,reentry=1
ParallelMachine=2
,2020-06-10T09:03:36,2020-06-11T15:03:35.999999
,,1,0206642600-0-0,reentry=1
,2020-06-11T16:23:24,2020-06-12T22:23:23.999999
,,1,0206642600-0-0,reentry=2
,2020-06-12T22:23:24,2020-06-14T04:23:23.999999
,,1,0703101100-0-0,reentry=1
,,2,0703121100-0-0,reentry=1
,2020-06-14T04:23:24,2020-06-15T10:23:23.999999
,,1,0205772740-0-0,reentry=1
,,2,0206192680-0-0,reentry=1
,,3,0703151100-0-0,reentry=1
ParallelMachine=3
,2020-06-10T12:15:36,2020-06-11T18:15:35.999999
,,1,0118671020-0-0,reentry=1
,2020-06-11T18:15:36,2020-06-13T00:15:35.999999
,,1,0601811220-0-0,reentry=1
,,2,0118681020-0-0,reentry=1
,2020-06-13T00:15:36,2020-06-14T06:15:35.999999
,,1,0206902680-0-0,reentry=1
,,2,0206282680-0-0,reentry=1
,,3,0118721020-0-0,reentry=1
,2020-06-14T06:15:36,2020-06-15T12:15:35.999999
,,1,0703141100-0-0,reentry=1
,,2,0206232680-0-0,reentry=1
,,3,0205792740-0-0,reentry=1
ParallelMachine=4
,2020-06-10T15:27:36,2020-06-11T21:27:35.999999
,,1,0703111100-0-0,reentry=1
,2020-06-11T21:27:36,2020-06-13T03:27:35.999999
,,1,0118661020-0-0,reentry=1
,,2,0118711020-0-1,reentry=1
,,3,0118851020-0-0,reentry=1
,2020-06-13T03:27:36,2020-06-14T09:27:35.999999
,,1,0118631020-0-0,reentry=1
,,2,0118741020-0-0,reentry=1
,,3,0703011100-0-0,reentry=1
,2020-06-14T09:27:36,2020-06-15T15:27:35.999999
,,1,0118751020-0-0,reentry=1
,,2,0206252680-0-0,reentry=1
,,3,0119221020-D-0-0,reentry=1
BD-S007
1,0118541020-P-0-0,reentry=1,2020-06-10T00:48:00,2020-06-10T01:56:23.999999,copper
2,0118921020-0-0,reentry=1,2020-06-10T01:56:24,2020-06-10T03:04:47.999999,copper
3,0703031100-0-0,reentry=1,2020-06-10T03:04:48,2020-06-10T04:13:11.999999,copper
