0117981020-0-0,,2020-06-13T11:59:59
5,BD-S016,2020-06-14T09:37:48,2020-06-14T10:14:23.999999
6,BD-S018,2020-06-14T10:14:24,2020-06-14T10:14:23.999999
0118641020-0-0,,2020-06-20T11:59:59
0118651020-0-0,,2020-03-30T11:59:59
0,BD-S005,2020-06-13T06:42:36,2020-06-13T07:30:35.999999
1,BD-S007,2020-06-13T16:33:36,2020-06-13T17:41:59.999999
2,BD-S011,2020-06-13T17:42:00,2020-06-13T17:41:59.999999
3,BD-S007,2020-06-13T17:42:00,2020-06-13T18:50:23.999999
4,BD-S020,2020-06-13T22:26:24,2020-06-14T01:05:59.999999
0118661020-0-0,,2020-06-18T11:59:59
0,BD-S005,2020-06-11T17:59:24,2020-06-11T18:47:23.999999
1,BD-S006,2020-06-11T21:27:36,2020-06-13T03:27:35.999999
2,BD-S012,2020-06-13T03:27:36,2020-06-13T03:27:35.999999
3,BD-S016,2020-06-13T06:58:48,2020-06-13T09:38:23.999999
0118671020-0-0,,2020-06-18T11:59:59
0,BD-S005,2020-06-10T11:27:36,2020-06-10T12:15:35.999999
1,BD-S006,2020-06-10T12:15:36,2020-06-11T18:15:35.999999
2,BD-S012,2020-06-11T18:15:36,2020-06-11T18:15:35.999999
3,BD-S025,2020-06-11T18:15:36,2020-06-11T18:15:35.999999
4,BD-S012,2020-06-11T18:15:36,2020-06-11T18:15:35.999999
5,BD-S020,2020-06-11T18:15:36,2020-06-11T20:55:11.999999
0118681020-0-0,,2020-06-14T11:59:59
0,BD-S005,2020-06-11T16:23:24,2020-06-11T17:11:23.999999
1,BD-S006,2020-06-11T18:15:36,2020-06-13T00:15:35.999999
2,BD-S012,2020-06-13T00:15:36,2020-06-13T00:15:35.999999
3,BD-S025,2020-06-13T00:15:36,2020-06-13T00:15:35.999999
4,BD-S012,2020-06-13T00:15:36,2020-06-13T00:15:35.999999
5,BD-S016,2020-06-13T03:42:36,2020-06-13T06:22:11.999999
0118691020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-12T05:51:00,2020-06-12T06:38:59.999999
1,BD-S006,2020-06-12T17:51:36,2020-06-13T23:51:35.999999
2,BD-S012,2020-06-13T23:51:36,2020-06-13T23:51:35.999999
3,BD-S025,2020-06-13T23:51:36,2020-06-13T23:51:35.999999
4,BD-S012,2020-06-13T23:51:36,2020-06-13T23:51:35.999999
5,BD-S016,2020-06-14T00:28:12,2020-06-14T01:04:47.999999
6,BD-S018,2020-06-14T01:04:48,2020-06-14T01:04:47.999999
0118701020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-12T11:27:00,2020-06-12T12:14:59.999999
1,BD-S006,2020-06-12T17:51:36,2020-06-13T23:51:35.999999
2,BD-S012,2020-06-13T23:51:36,2020-06-13T23:51:35.999999
3,BD-S025,2020-06-13T23:51:36,2020-06-13T23:51:35.999999
4,BD-S012,2020-06-13T23:51:36,2020-06-13T23:51:35.999999
5,BD-S016,2020-06-14T01:04:48,2020-06-14T01:41:23.999999
6,BD-S018,2020-06-14T01:41:24,2020-06-14T01:41:23.999999
0118711020-0-1,,2020-06-17T11:59:59
0,BD-S005,2020-06-11T19:35:24,2020-06-11T20:23:23.999999
1,BD-S006,2020-06-11T21:27:36,2020-06-13T03:27:35.999999
2,BD-S012,2020-06-13T03:27:36,2020-06-13T03:27:35.999999
3,BD-S025,2020-06-13T03:27:36,2020-06-13T03:27:35.999999
4,BD-S012,2020-06-13T03:27:36,2020-06-13T03:27:35.999999
5,BD-S016,2020-06-13T09:38:24,2020-06-13T10:14:59.999999
6,BD-S018,2020-06-13T10:15:00,2020-06-13T10:14:59.999999
0118711020-0-2,,2020-06-17T11:59:59
0118711020-0-3,,2020-06-17T11:59:59
0118721020-0-0,,2020-06-19T11:59:59
0,BD-S005,2020-06-12T17:03:00,2020-06-12T17:50:59.999999
1,BD-S006,2020-06-13T00:15:36,2020-06-14T06:15:35.999999
2,BD-S012,2020-06-14T06:15:36,2020-06-14T06:15:35.999999
3,BD-S025,2020-06-14T06:15:36,2020-06-14T06:15:35.999999
4,BD-S012,2020-06-14T06:15:36,2020-06-14T06:15:35.999999
5,BD-S016,2020-06-14T08:24:36,2020-06-14T09:01:11.999999
6,BD-S018,2020-06-14T09:01:12,2020-06-14T09:01:11.999999
0118731020-0-0,,2020-06-19T11:59:59
0,BD-S005,2020-06-10T17:51:36,2020-06-10T18:39:35.999999
1,BD-S006,2020-06-11T15:18:36,2020-06-12T21:18:35.999999
2,BD-S012,2020-06-12T21:18:36,2020-06-12T21:18:35.999999
3,BD-S025,2020-06-12T21:18:36,2020-06-12T21:18:35.999999
4,BD-S012,2020-06-12T21:18:36,2020-06-12T21:18:35.999999
5,BD-S016,2020-06-12T21:18:36,2020-06-12T21:55:11.999999
6,BD-S018,2020-06-12T21:55:12,2020-06-12T21:55:11.999999
0118741020-0-0,,2020-06-19T11:59:59
0,BD-S005,2020-06-12T22:11:24,2020-06-12T22:59:23.999999
1,BD-S006,2020-06-13T03:27:36,2020-06-14T09:27:35.999999
2,BD-S012,2020-06-14T09:27:36,2020-06-14T09:27:35.999999
3,BD-S025,2020-06-14T09:27:36,2020-06-14T09:27:35.999999
4,BD-S012,2020-06-14T09:27:36,2020-06-14T09:27:35.999999
5,BD-S016,2020-06-14T10:14:24,2020-06-14T10:50:59.999999
6,BD-S018,2020-06-14T10:51:00,2020-06-14T10:50:59.999999
0118751020-0-0,,2020-06-24T11:59:59
0,BD-S005,2020-06-13T17:44:24,2020-06-13T18:32:23.999999
1,BD-S006,2020-06-14T09:27:36,2020-06-15T15:27:35.999999
2,BD-S012,2020-06-15T15:27:36,2020-06-15T15:27:35.999999
3,BD-S025,2020-06-15T15:27:36,2020-06-15T15:27:35.999999
4,BD-S012,2020-06-15T15:27:36,2020-06-15T15:27:35.999999
5,BD-S016,2020-06-15T15:27:36,2020-06-15T16:04:11.999999
6,BD-S018,2020-06-15T16:04:12,2020-06-15T16:04:11.999999
0118761020-0-0,,2020-06-19T11:59:59
0,BD-S005,2020-06-11T18:47:24,2020-06-11T19:35:23.999999
1,BD-S007,2020-06-12T06:00:00,2020-06-12T07:08:23.999999
2,BD-S016,2020-06-12T08:12:00,2020-06-12T08:48:35.999999
3,BD-S009,2020-06-12T08:48:36,2020-06-12T08:48:35.999999
4,BD-S007,2020-06-12T08:48:36,2020-06-12T09:56:59.999999
5,BD-S020,2020-06-12T09:57:00,2020-06-12T12:36:35.999999
0118761020-0-2,,2020-06-19T11:59:59
0118771020-0-0,,2020-06-16T11:59:59
0,BD-S005,2020-06-10T12:15:36,2020-06-10T13:03:35.999999
1,BD-S007,2020-06-10T13:39:00,2020-06-10T14:47:23.999999
2,BD-S016,2020-06-10T17:49:48,2020-06-10T18:26:23.999999
3,BD-S010,2020-06-10T18:26:24,2020-06-10T18:26:23.999999
4,BD-S007,2020-06-10T18:26:24,2020-06-10T19:34:47.999999
5,BD-S020,2020-06-10T23:33:00,2020-06-11T02:12:35.999999
0118781020-0-0,,2020-06-16T11:59:59
0,BD-S004,2020-06-10T01:00:00,2020-06-10T01:29:59.999999
1,BD-S005,2020-06-10T16:15:36,2020-06-10T17:03:35.999999
2,BD-S007,2020-06-10T17:04:12,2020-06-10T18:12:35.999999
3,BD-S016,2020-06-10T19:39:36,2020-06-10T20:16:11.999999
4,BD-S010,2020-06-10T20:16:12,2020-06-10T20:16:11.999999
5,BD-S007,2020-06-10T21:51:36,2020-06-10T22:59:59.999999
6,BD-S020,2020-06-11T07:31:48,2020-06-11T10:11:23.999999
0118791020-0-0,,2020-06-16T11:59:59
0,BD-S004,2020-06-10T00:30:00,2020-06-10T00:59:59.999999
1,BD-S005,2020-06-10T13:51:36,2020-06-10T14:39:35.999999
2,BD-S007,2020-06-10T15:55:48,2020-06-10T17:04:11.999999
3,BD-S016,2020-06-10T19:03:00,2020-06-10T19:39:35.999999
4,BD-S010,2020-06-10T19:39:36,2020-06-10T19:39:35.999999
5,BD-S007,2020-06-10T20:43:12,2020-06-10T21:51:35.999999
6,BD-S020,2020-06-11T04:52:12,2020-06-11T07:31:47.999999
0118801020-0-0,,2020-06-18T11:59:59
0,BD-S004,2020-06-10T00:00:00,2020-06-10T00:29:59.999999
1,BD-S005,2020-06-10T04:31:48,2020-06-10T05:19:47.999999
2,BD-S007,2020-06-10T05:21:36,2020-06-10T06:29:59.999999
