0117981020-0-0,,2020-06-13T11:59:59
2,BD-S016,117.35,0.61
3,BD-S011,117.96,0
4,BD-S008,118.9,1.77
5,BD-S020,129.2,2.66
0118961020-0-0,,2020-06-22T11:59:59
0,BD-S005,88.33,0.8
1,BD-S007,112.98,1.14
2,BD-S016,114.55,0.61
3,BD-S011,115.16,0
4,BD-S008,115.36,1.77
5,BD-S020,119.2,2.66
0118971020-0-0,,2020-06-22T11:59:59
0,BD-S005,89.13,0.8
1,BD-S007,114.12,1.14
2,BD-S016,115.26,0.61
3,BD-S011,115.87,0
4,BD-S008,117.13,1.77
5,BD-S020,121.86,2.66
0118981020-C-0-0,,2020-06-22T11:59:59
0,BD-S005,92.89,0.8
1,BD-S007,117.54,1.14
2,BD-S016,118.68,0.61
3,BD-S011,119.29,0
4,BD-S008,122.44,1.77
5,BD-S019,124.21,0
6,BD-S021,124.21,0
0118991020-A-0-0,,2020-06-22T11:59:59
0,BD-S005,95.17,0.8
1,BD-S007,118.68,1.14
2,BD-S016,120.15,0.61
3,BD-S011,120.76,0
4,BD-S008,154.55,1.77
5,BD-S019,156.32,0
6,BD-S021,156.32,0
0119001020-0-0,,2020-06-17T11:59:59
0,BD-S005,37.94,0.8
1,BD-S007,57.7,1.14
2,BD-S016,58.84,0.61
3,BD-S011,59.45,0
4,BD-S008,60.71,1.77
5,BD-S019,62.48,2.66
0119011020-0-0,,2020-06-25T11:59:59
0,BD-S005,108.14,0.8
1,BD-S008,182.25,1.77
2,BD-S016,184.02,0.61
3,BD-S011,184.63,0
4,BD-S008,184.63,1.77
5,BD-S020,187.58,2.66
0119181020-0-0,,2020-06-20T11:59:59
0,BD-S005,57.65,0.8
1,BD-S006,80.92,30
2,BD-S012,121.54,1
3,BD-S025,122.54,0
4,BD-S012,122.54,1
5,BD-S016,123.54,0.61
6,BD-S018,124.15,0
0119191020-0-0,,2020-06-20T11:59:59
0,BD-S005,56.85,0.8
1,BD-S006,78.79,30
2,BD-S012,119.54,1
3,BD-S025,120.54,0
4,BD-S012,120.54,1
5,BD-S016,121.54,0.61
6,BD-S018,122.15,0
0119201020-0-0,,2020-06-20T11:59:59
0,BD-S005,52.05,0.8
1,BD-S006,70.54,30
2,BD-S012,103.54,1
3,BD-S025,104.54,0
4,BD-S012,104.54,1
5,BD-S016,105.54,2.66
0119211020-D-0-0,,2020-06-23T11:59:59
0,BD-S005,84.33,0.8
1,BD-S006,102.46,30
2,BD-S012,136.54,1
3,BD-S025,137.54,0
4,BD-S012,137.54,1
5,BD-S016,142.47,2.66
0119221020-D-0-0,,2020-06-23T11:59:59
0,BD-S005,85.13,0.8
1,BD-S006,102.46,30
2,BD-S012,138.54,1
3,BD-S025,139.54,0
4,BD-S012,139.54,1
5,BD-S016,145.13,2.66
0119231020-D-0-0,,2020-06-20T11:59:59
0119251020-P-0-0,,2020-06-20T11:59:59
0,BD-S005,59.25,0.8
1,BD-S007,67.81,1.14
2,BD-S016,70.32,0.61
3,BD-S011,70.93,0
4,BD-S013,70.93,1.77
5,BD-S020,90.94,2.66
0119261020-0-0,,2020-06-24T11:59:59
0,BD-S005,103.96,0.8
1,BD-S007,124.38,1.14
2,BD-S016,154.41,0.61
3,BD-S011,155.02,0
4,BD-S008,176.94,1.77
5,BD-S011,178.71,0
6,BD-S013,178.71,1.77
7,BD-S020,182.26,2.66
0119271020-0-0,,2020-06-21T11:59:59
0,BD-S005,74.88,0.8
1,BD-S008,75.68,1.77
2,BD-S016,77.45,0.61
3,BD-S011,78.06,0
4,BD-S008,78.06,1.77
5,BD-S019,79.83,2.66
0119281020-0-0,,2020-06-24T11:59:59
0,BD-S005,104.76,0.8
1,BD-S007,125.52,1.14
2,BD-S016,155.02,0.61
3,BD-S011,155.63,0
4,BD-S008,178.71,1.77
5,BD-S019,180.48,2.66
0119291020-0-0,,2020-06-26T11:59:59
0,BD-S005,110.94,0.8
1,BD-S007,162.26,1.14
2,BD-S016,166.86,0.61
3,BD-S011,167.47,0
4,BD-S008,186.4,1.77
5,BD-S019,188.17,2.66
0119301020-0-0,,2020-06-15T11:59:59
0,BD-S005,22.54,0.8
1,BD-S007,26.74,1.14
2,BD-S016,32.72,0.61
3,BD-S011,33.33,0
4,BD-S007,33.33,1.14
5,BD-S020,34.47,2.66
0119311020-0-0,,2020-06-20T11:59:59
0,BD-S005,65.65,0.8
1,BD-S007,99.73,1.14
2,BD-S016,109.56,0.61
3,BD-S010,110.17,0
4,BD-S007,110.7,1.14
