0117981020-0-0,,2020-06-13T11:59:59
6,BD-S020,59.49,2.66
0118811020-0-0,,2020-06-23T11:59:59
0,BD-S005,2.13,0.8
1,BD-S007,2.93,1.14
2,BD-S016,4.07,0.61
3,BD-S011,4.68,0
4,BD-S008,4.68,1.77
5,BD-S011,6.45,0
6,BD-S013,6.45,1.77
7,BD-S020,8.75,2.66
0118821020-0-0,,2020-06-23T11:59:59
0,BD-S005,13.33,0.8
1,BD-S007,14.35,1.14
2,BD-S016,15.49,0.61
3,BD-S011,16.1,0
4,BD-S008,16.1,1.77
5,BD-S011,17.87,0
6,BD-S013,17.87,1.77
7,BD-S020,19.64,2.66
0118831020-0-0,,2020-06-21T11:59:59
0,BD-S005,53.63,0.8
1,BD-S007,69.49,1.14
2,BD-S016,70.63,0.61
3,BD-S011,71.24,0
4,BD-S012,79.13,1
5,BD-S020,92,2.66
0118841020-0-0,,2020-06-17T11:59:59
0,BD-S005,63.73,0.8
1,BD-S006,67.66,30
2,BD-S012,103.26,1
3,BD-S016,115.17,0.61
4,BD-S025,115.78,0
5,BD-S007,116.31,1.14
6,BD-S020,118.97,2.66
0118851020-0-0,,2020-06-17T11:59:59
0,BD-S005,62.93,0.8
1,BD-S006,67.66,30
2,BD-S012,102.26,1
3,BD-S016,114.56,0.61
4,BD-S025,115.17,0
5,BD-S007,115.17,1.14
6,BD-S020,116.31,2.66
0118861020-0-0,,2020-06-17T11:59:59
0,BD-S005,26.66,0.8
1,BD-S007,28.48,1.14
2,BD-S016,29.62,0.61
3,BD-S011,30.23,0
4,BD-S008,74.28,1.77
5,BD-S020,77.83,2.66
0118871020-0-0,,2020-06-24T11:59:59
0,BD-S005,25.86,0.8
1,BD-S007,27.34,1.14
2,BD-S016,28.55,0.61
3,BD-S011,29.16,0
4,BD-S008,72.51,1.77
5,BD-S020,75.17,2.66
0118881020-0-0,,2020-06-17T11:59:59
0,BD-S005,25.06,0.8
1,BD-S007,26.2,1.14
2,BD-S016,27.94,0.61
3,BD-S011,28.55,0
4,BD-S008,70.74,1.77
5,BD-S020,72.51,2.66
0118911020-0-0,,2020-06-22T11:59:59
0,BD-S005,109.36,0.8
1,BD-S007,111.64,1.14
2,BD-S016,153.38,0.61
3,BD-S011,153.99,0
4,BD-S008,163.84,1.77
5,BD-S019,165.61,0
6,BD-S021,165.61,0
0118921020-0-0,,2020-06-22T11:59:59
0,BD-S005,105.36,0.8
1,BD-S007,106.16,1.14
2,BD-S016,139.53,0.61
3,BD-S011,140.14,0
4,BD-S008,162.07,1.77
5,BD-S019,163.84,0
6,BD-S021,163.84,0
0118931020-0-0,,2020-06-17T11:59:59
0,BD-S005,18.93,0.8
1,BD-S007,20.29,1.14
2,BD-S016,21.47,0.61
